날짜,종가,시가,고가,저가,거래량,변동 %
2023.11.23,"17,870","18,000","18,050","17,845",0.53K,-0.86%
2023.11.22,"18,025","17,935","18,095","17,875",2.85K,-0.14%
2023.11.21,"18,050","18,080","18,130","18,030",1.66K,0.17%
2023.11.20,"18,020","17,885","18,030","17,885",1.84K,1.07%
2023.11.17,"17,830","17,880","17,955","17,740",22.79K,-0.50%
2023.11.16,"17,920","17,910","17,970","17,795",0.44K,-0.17%
2023.11.15,"17,950","17,825","17,980","17,810",1.47K,2.43%
2023.11.14,"17,525","17,425","17,525","17,405",3.23K,1.68%
2023.11.13,"17,235","17,605","17,635","17,235",2.16K,-1.06%
2023.11.10,"17,420","17,350","17,420","17,200",0.39K,-0.23%
2023.11.9,"17,460","17,455","17,550","17,395",0.30K,0.66%
2023.11.8,"17,345","17,915","17,915","17,345",2.35K,-2.14%
2023.11.7,"17,725","17,985","18,055","17,450",1.16K,-1.88%
2023.11.6,"18,065","17,385","18,070","17,385",4.83K,5.37%
2023.11.3,"17,145","17,150","17,190","17,070",2.72K,0.82%
2023.11.2,"17,005","16,750","17,025","16,750",1.84K,4.20%
2023.11.1,"16,320","16,115","16,430","16,115",20.75K,1.68%
2023.10.31,"16,050","16,700","16,700","16,050",3.82K,-3.05%
2023.10.30,"16,555","16,455","16,705","16,455",0.97K,0.27%
2023.10.27,"16,510","16,320","16,550","16,225",4.11K,1.29%
2023.10.26,"16,300","16,610","16,690","16,275",3.12K,-4.73%
2023.10.25,"17,110","17,460","17,460","17,080",0.86K,-1.50%
2023.10.24,"17,370","17,165","17,370","16,825",17.94K,2.00%
2023.10.23,"17,030","17,200","17,235","16,980",15.04K,-1.05%
2023.10.20,"17,210","17,235","17,345","17,040",24.56K,-1.54%
2023.10.19,"17,480","17,725","17,725","17,420",2.84K,-2.48%
2023.10.18,"17,925","17,745","18,010","17,745",4.18K,-0.50%
2023.10.17,"18,015","17,670","18,035","17,670",0.97K,2.71%
2023.10.16,"17,540","17,565","17,630","17,355",1.35K,-0.90%
2023.10.13,"17,700","17,705","17,875","17,685",0.69K,-0.67%
2023.10.12,"17,820","17,620","17,820","17,605",9.09K,2.83%
2023.10.11,"17,330","17,370","17,540","17,315",4.36K,2.12%
2023.10.10,"16,970","17,325","17,450","16,970",2.26K,-0.29%
2023.10.6,"17,020","17,135","17,135","16,985",1.04K,-0.29%
2023.10.5,"17,070","17,165","17,305","17,015",2.24K,0.86%
2023.10.4,"16,925","16,995","17,015","16,840",24.12K,-2.03%
2023.9.27,"17,275","16,995","17,325","16,995",1.99K,0.06%
2023.9.26,"17,265","17,540","17,540","17,195",1.58K,-0.80%
2023.9.25,"17,405","17,470","17,520","17,360",2.20K,-0.23%
2023.9.22,"17,445","17,260","17,510","17,260",2.31K,-0.09%
2023.9.21,"17,460","17,730","17,760","17,455",5.02K,-2.24%
2023.9.20,"17,860","17,895","17,970","17,820",4.83K,-0.47%
2023.9.19,"17,945","18,120","18,120","17,940",0.26K,-0.91%
2023.9.18,"18,110","18,380","18,380","18,075",0.60K,-2.13%
2023.9.15,"18,505","18,345","18,595","18,345",9.69K,1.15%
2023.9.14,"18,295","18,020","18,310","18,020",2.73K,2.38%
2023.9.13,"17,870","18,000","18,140","17,815",3.31K,-0.33%
2023.9.12,"17,930","18,060","18,060","17,895",2.32K,-0.44%
2023.9.11,"18,010","18,070","18,090","17,975",0.27K,-0.50%
2023.9.8,"18,100","18,320","18,320","17,930",3.63K,-1.34%
2023.9.7,"18,345","18,410","18,455","18,270",0.83K,-0.81%
2023.9.6,"18,495","18,615","18,615","18,450",1.77K,-1.04%
2023.9.5,"18,690","18,760","18,780","18,645",1.20K,0.38%
2023.9.4,"18,620","18,725","18,725","18,460",1.68K,0.54%
2023.9.1,"18,520","18,415","18,600","18,400",41.67K,0.82%
2023.8.31,"18,370","18,265","18,410","18,265",35.27K,0.57%
2023.8.30,"18,265","18,380","18,420","18,245",20.68K,0.80%
2023.8.29,"18,120","18,260","18,260","18,065",23.60K,0.39%
2023.8.28,"18,050","17,980","18,070","17,970",6.32K,0.67%
2023.8.25,"17,930","17,955","18,035","17,870",0.54K,-1.46%
2023.8.24,"18,195","18,140","18,330","18,140",93.00K,2.31%
2023.8.23,"17,785","17,750","17,885","17,740",2.35K,-0.75%
2023.8.22,"17,920","18,045","18,200","17,805",2.04K,0.31%
2023.8.21,"17,865","17,960","18,020","17,820",1.62K,0.03%
2023.8.18,"17,860","17,700","18,025","17,545",47.26K,0.08%
2023.8.17,"17,845","17,725","17,895","17,550",20.79K,0.25%
2023.8.16,"17,800","17,920","18,070","17,780",87.27K,-0.67%
2023.8.14,"17,920","18,105","18,220","17,880",190.18K,-1.75%
2023.8.11,"18,240","18,390","18,465","18,240",1.06K,0.05%
2023.8.10,"18,230","18,220","18,275","18,075",4.33K,-0.98%
2023.8.9,"18,410","18,320","18,525","18,305",1.95K,1.21%
2023.8.8,"18,190","18,490","18,510","18,190",6.56K,-1.62%
2023.8.7,"18,490","18,415","18,665","18,415",11.03K,-0.51%
2023.8.4,"18,585","18,600","18,685","18,510",0.55K,-0.11%
2023.8.3,"18,605","18,755","18,805","18,470",2.32K,-0.80%
2023.8.2,"18,755","19,255","19,365","18,750",4.57K,-3.37%
2023.8.1,"19,410","19,035","19,410","19,035",30.75K,2.08%
2023.7.31,"19,015","19,200","19,290","18,975",5.11K,-0.34%
2023.7.28,"19,080","18,965","19,155","18,880",7.19K,0.77%
2023.7.27,"18,935","18,770","19,080","18,715",8.53K,1.07%
2023.7.26,"18,735","18,965","19,105","18,580",10.13K,-1.26%
2023.7.25,"18,975","19,070","19,095","18,925",11.73K,-0.42%
2023.7.24,"19,055","18,810","19,110","18,790",14.95K,0.61%
2023.7.21,"18,940","18,850","18,980","18,805",64.95K,-1.15%
2023.7.20,"19,160","19,165","19,250","19,060",1.31K,-0.26%
2023.7.19,"19,210","19,350","19,355","18,975",80.74K,-0.44%
2023.7.18,"19,295","19,325","19,350","19,190",12.19K,-0.18%
2023.7.17,"19,330","19,105","19,865","19,105",172.33K,0.49%
2023.7.14,"19,235","19,070","19,325","19,070",77.86K,1.91%
2023.7.13,"18,875","18,780","18,990","18,780",9.16K,1.15%
2023.7.12,"18,660","18,475","18,685","18,475",6.85K,0.76%
2023.7.11,"18,520","18,345","18,520","18,340",2.47K,1.87%
2023.7.10,"18,180","18,325","18,400","18,125",10.84K,-1.22%
2023.7.7,"18,405","18,570","18,570","18,375",59.71K,-1.68%
2023.7.6,"18,720","18,855","18,915","18,670",5.05K,-1.45%
2023.7.5,"18,995","19,110","19,110","18,995",7.67K,-0.55%
2023.7.4,"19,100","19,105","19,215","19,080",11.46K,-0.42%
2023.7.3,"19,180","18,690","19,180","18,690",14.05K,2.57%
2023.6.30,"18,700","18,535","18,730","18,415",15.94K,0.24%
2023.6.29,"18,655","18,505","18,865","18,505",2.09K,0.87%
2023.6.28,"18,495","18,685","18,750","18,490",13.22K,-0.62%
2023.6.27,"18,610","18,600","18,645","18,470",10.47K,-0.43%
2023.6.26,"18,690","18,490","18,760","18,490",0.44K,0.21%
2023.6.23,"18,650","18,860","18,860","18,600",6.31K,-0.32%
2023.6.22,"18,710","18,700","18,830","18,665",5.75K,0.05%
2023.6.21,"18,700","18,890","19,135","18,700",3.81K,-1.37%
2023.6.20,"18,960","18,860","19,035","18,715",14.52K,-0.13%
2023.6.19,"18,985","19,120","19,160","18,930",8.51K,-1.35%
2023.6.16,"19,245","19,145","19,300","19,100",6.12K,0.18%
2023.6.15,"19,210","19,205","19,370","19,075",6.24K,0.47%
2023.6.14,"19,120","19,505","19,505","19,015",10.37K,-1.49%
2023.6.13,"19,410","19,250","19,450","19,250",36.50K,1.62%
2023.6.12,"19,100","19,100","19,250","19,015",19.80K,-0.08%
2023.6.9,"19,115","18,705","19,115","18,700",16.15K,2.47%
2023.6.8,"18,655","18,675","18,675","18,505",5.15K,-0.11%
2023.6.7,"18,675","18,670","18,765","18,665",12.58K,0.46%
2023.6.5,"18,590","18,730","18,730","18,565",5.42K,-0.75%
2023.6.2,"18,730","18,790","18,790","18,625",4.63K,0.97%
2023.6.1,"18,550","18,400","18,620","18,390",37.74K,-0.56%
2023.5.31,"18,655","18,790","18,790","18,560",11.04K,-0.32%
2023.5.30,"18,715","18,480","18,735","18,480",15.51K,2.77%
2023.5.26,"18,210","18,140","18,325","18,140",24.76K,1.19%
2023.5.25,"17,995","18,130","18,160","17,940",5.49K,0.70%
2023.5.24,"17,870","17,855","17,900","17,785",6.22K,-0.17%
2023.5.23,"17,900","17,900","17,985","17,790",17.34K,0.59%
2023.5.22,"17,795","17,860","17,925","17,700",5.32K,0.14%
2023.5.19,"17,770","17,450","17,770","17,450",1.87K,2.69%
2023.5.18,"17,305","17,380","17,380","17,215",2.36K,1.08%
2023.5.17,"17,120","16,865","17,155","16,865",4.77K,1.51%
2023.5.16,"16,865","16,925","16,925","16,845",1.34K,0.99%
2023.5.15,"16,700","16,590","16,700","16,435",1.41K,0.36%
2023.5.12,"16,640","16,535","16,775","16,535",6.63K,-0.24%
